PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AirQualityIndex
34,26,5,1,11,77,13,77
38,69,29,10,41,15,17,69
43,69,28,10,27,15,17,43
90,110,19,9,10,14,18,110
46,63,9,10,7,35,23,63
60,83,48,7,19,37,22,83
60,87,24,6,15,61,16,87
42,87,32,6,9,61,19,42
66,112,22,11,12,47,22,112
49,112,23,11,5,63,27,63
98,117,21,7,4,25,10,117
60,66,16,9,25,59,9,66
37,33,6,2,6,14,11,37
67,69,47,2,17,16,4,69
22,26,28,10,4,20,13,28
27,31,22,1,4,22,13,31
23,42,18,2,8,35,33,42
27,42,27,5,3,14,18,42
53,89,51,1,15,30,15,89
26,50,9,1,16,22,16,50
34,50,58,1,21,63,6,63
51,50,73,1,57,26,152,73
67,85,56,7,12,43,10,85
46,54,18,2,5,40,24,54
29,78,8,3,2,23,3,78
88,93,30,6,49,22,7,93
75,71,16,5,2,25,10,75
44,67,32,21,3,45,69,69
114,111,17,4,4,29,22,114
96,109,16,4,5,153,27,153
30,106,11,14,3,23,35,106
176,126,25,8,47,26,26,176
112,90,15,11,4,79,21,112
68,95,7,12,9,32,15,95
139,114,13,12,45,20,9,139
109,90,28,7,3,24,8,109
109,79,27,4,6,47,8,79
106,100,18,5,14,37,4,106
106,84,14,6,4,17,10,84
61,75,9,20,1,36,7,75
97,75,15,20,6,3,17,97
115,129,19,25,14,20,97,129
221,147,25,4,4,23,21,221
110,98,72,9,7,55,7,110
25,29,12,2,4,55,8,29
35,29,18,2,4,37,9,37
20,49,23,1,14,37,5,49
34,109,13,3,32,15,8,109
31,41,24,1,8,20,5,41
5,18,6,8,5,45,7,45
29,25,19,3,10,20,54,54
17,18,17,1,12,20,23,23
33,41,12,1,8,18,11,41
18,23,6,3,11,33,70,70
27,68,27,2,12,19,22,68
13,22,21,10,17,11,14,22
42,46,29,3,37,34,6,46
18,50,14,3,15,58,5,58
26,47,69,8,1,13,3,69
28,30,69,8,3,17,34,34
28,30,69,8,54,74,34,74
31,31,8,8,74,67,6,74
18,48,10,8,15,27,15,48
18,15,24,5,24,45,11,45
50,37,16,7,18,95,5,95
67,73,13,2,12,50,22,73
55,94,29,2,7,50,22,94
57,118,43,19,12,17,12,118
96,98,12,3,7,41,31,98
79,101,23,3,7,41,22,101
63,85,23,3,10,36,11,85
32,67,23,3,3,15,11,67
78,71,11,3,11,12,11,78
51,61,14,5,7,82,25,82
194,136,21,3,29,24,19,194
119,107,32,7,8,28,13,119
55,70,29,4,12,45,37,70
82,106,40,4,10,74,11,106
38,52,15,3,16,27,13,52
82,83,45,8,6,35,14,83
62,100,12,3,12,17,20,100
45,100,11,3,6,87,8,87
36,27,6,1,11,76,11,76
36,62,28,9,40,12,16,62
41,62,29,9,26,12,16,41
83,104,18,9,9,13,14,104
43,61,9,10,7,36,19,61
60,84,48,7,20,35,17,84
60,86,24,6,15,61,13,86
39,86,31,6,8,61,18,39
66,109,22,11,11,44,16,109
45,109,23,11,5,63,28,63
100,119,20,7,4,17,9,119
58,65,16,8,25,59,8,65
34,31,6,2,6,14,11,34
65,67,41,2,17,13,4,67
22,26,27,11,4,17,16,27
26,29,21,1,4,17,14,29
23,44,18,2,8,40,45,45
24,35,27,5,3,20,18,35
50,88,54,1,15,53,20,88
24,25,9,1,16,19,16,25
35,25,65,1,21,64,10,65
50,25,73,1,56,54,200,73
53,67,47,6,14,27,60,67
51,65,18,2,5,35,23,65
27,82,9,3,1,38,3,82
69,78,28,6,48,20,27,78
52,56,16,4,1,23,116,116
40,54,31,21,2,41,47,54
83,89,17,3,2,23,39,89
73,89,19,4,6,139,58,139
28,89,10,14,5,27,70,89
147,116,23,6,49,25,62,147
75,74,14,10,3,65,58,75
49,73,6,12,10,24,26,73
93,93,8,12,50,31,16,93
73,73,22,7,5,20,22,73
73,62,43,4,5,59,15,62
69,57,14,7,5,17,20,57
53,64,9,19,1,35,18,64
73,64,15,19,6,3,37,73
92,108,20,29,11,18,55,108
57,108,9,29,23,52,23,57
241,140,26,4,4,26,34,241
61,66,62,8,8,38,4,66
25,28,12,2,4,26,7,28
32,28,19,2,4,41,20,41
16,32,23,1,16,42,8,42
34,119,13,3,32,14,12,119
28,32,23,1,8,18,15,32
8,23,6,8,4,24,9,24
23,20,16,3,9,20,48,48
14,28,9,3,8,23,48,28
15,15,19,1,13,36,20,36
29,37,11,1,8,15,14,37
15,19,6,3,11,35,68,68
27,68,26,2,12,25,18,68
15,28,21,10,17,15,15,28
36,37,31,2,37,39,14,39
20,65,18,2,15,66,5,66
26,47,67,8,1,30,3,67
16,9,26,5,19,64,8,64
35,33,17,7,11,92,8,92
58,65,14,2,14,45,36,65
49,86,29,2,7,45,36,86
46,95,47,17,14,30,21,95
56,60,12,3,7,43,29,60
61,79,26,4,7,43,19,79
38,53,26,4,11,34,12,53
30,58,26,4,3,13,12,58
61,58,13,4,10,10,12,61
44,56,14,4,6,55,26,56
155,132,19,3,29,27,38,155
74,109,26,6,9,22,61,109
61,69,25,3,12,46,50,69
71,104,40,3,10,69,46,104
32,44,15,3,13,36,21,44
77,79,45,8,6,30,43,79
60,84,13,5,13,62,13,84
48,84,11,5,6,36,32,48
40,31,8,1,11,84,30,84
30,57,21,7,43,14,27,57
33,57,27,7,25,14,27,33
52,82,13,8,8,4,58,82
38,56,8,9,7,33,40,56
53,75,44,6,18,28,45,75
53,77,25,8,16,67,37,77
25,77,29,8,8,67,18,29
52,90,19,9,10,41,75,90
30,90,23,9,5,63,23,63
69,93,14,7,3,16,32,93
60,66,16,7,23,58,19,66
25,25,7,2,6,18,25,25
58,68,36,1,15,20,11,68
23,30,26,9,4,15,36,36
17,21,21,1,4,20,17,21
27,44,20,2,7,43,52,52
26,39,28,4,4,18,21,39
29,40,2,4,12,21,6,40
79,104,57,2,14,31,35,104
37,40,9,1,16,17,17,40
48,40,68,1,21,69,20,69
71,40,92,1,58,53,106,92
46,57,39,5,13,36,38,57
122,57,72,5,80,88,19,122
33,51,14,5,40,70,3,70
40,44,18,2,5,29,23,44
60,73,30,4,45,17,24,73
41,53,15,4,1,19,84,84
41,42,34,22,2,44,54,54
79,81,15,3,3,16,35,81
55,69,20,6,6,66,67,69
30,73,8,12,5,15,73,73
52,68,13,12,5,109,38,109
94,90,15,6,52,22,61,94
81,80,16,11,10,42,46,81
45,66,6,14,11,29,30,66
97,107,9,14,50,22,11,107
73,71,16,6,4,18,17,73
54,61,24,5,20,28,25,61
54,32,14,6,5,16,26,32
85,121,20,18,14,40,41,121
71,121,9,18,10,29,18,71
267,132,21,3,4,17,31,267
53,70,57,6,10,42,2,70
74,88,8,11,8,23,63,88
25,29,12,2,4,23,7,29
46,29,20,2,5,51,22,51
22,52,24,1,17,41,8,52
38,132,12,3,32,12,15,132
24,33,14,2,7,19,14,33
13,21,6,8,3,26,9,26
27,32,3,8,2,39,28,39
10,20,3,8,2,2,28,20
20,24,15,2,8,17,46,46
14,27,10,2,8,18,46,27
15,13,20,1,15,28,19,28
28,34,10,1,6,15,14,34
18,40,10,1,41,61,14,61
33,50,20,3,45,27,55,55
13,19,5,3,10,33,65,65
47,65,22,3,14,36,12,65
17,28,23,10,17,15,16,28
52,60,23,3,37,20,22,60
31,67,14,3,15,58,19,67
23,48,74,9,1,26,2,74
30,26,6,1,3,23,34,34
30,30,6,1,54,78,34,78
36,36,8,1,74,67,6,74
21,48,20,1,16,35,22,48
21,18,27,5,14,41,13,41
36,40,15,8,11,94,5,94
34,56,11,2,12,63,1,63
71,68,19,2,22,67,32,71
45,78,29,2,7,67,32,78
53,119,64,35,16,36,16,119
63,69,11,3,7,42,30,69
73,82,23,3,9,42,23,82
39,55,23,3,11,34,11,55
50,68,23,3,3,13,12,68
59,63,11,3,11,10,12,63
43,55,12,4,6,51,18,55
178,123,22,3,25,23,40,178
68,115,28,7,8,16,60,115
34,39,27,4,12,40,33,40
66,97,41,4,10,66,32,97
36,49,15,3,14,29,29,49
67,72,45,8,7,29,38,72
50,36,9,1,11,82,29,82
32,67,25,10,54,12,32,67
36,67,22,10,27,12,32,36
44,77,18,7,9,6,53,77
33,53,9,8,7,25,42,53
43,68,41,5,16,33,41,68
28,63,27,6,8,56,29,29
40,87,19,8,12,41,69,87
33,87,23,8,6,62,32,62
33,75,16,6,5,38,28,75
39,53,19,7,12,48,28,53
40,47,17,3,17,19,70,70
29,27,8,2,6,11,32,32
59,78,38,1,18,22,25,78
22,33,25,7,4,15,60,60
25,30,22,1,4,18,16,30
22,36,17,2,8,44,38,44
30,41,30,5,4,19,22,41
25,32,2,5,12,19,6,32
58,84,46,2,16,38,30,84
40,48,9,1,16,21,17,48
57,48,71,1,21,71,19,71
34,40,28,4,11,30,16,40
133,40,52,4,80,89,20,133
39,65,14,5,26,69,3,69
43,43,18,2,5,27,24,43
19,102,8,3,1,25,3,102
43,63,28,3,45,15,23,63
38,45,15,5,2,21,42,45
37,43,32,23,2,42,17,43
69,73,14,4,3,24,45,73
21,70,8,14,5,19,46,70
87,87,13,5,56,26,37,87
60,56,12,8,8,18,26,60
32,54,5,13,12,27,22,54
46,67,10,13,18,17,14,67
43,51,14,4,4,17,15,51
57,63,19,4,14,28,14,63
57,29,14,6,5,16,10,29
43,64,8,38,1,30,6,64
51,64,16,38,6,1,40,51
